iter,param,param_value
1,POP_UNION_F,0
2,POP_UNION_F,0.2
3,POP_UNION_F,0.4
4,POP_UNION_F,0.6
5,POP_UNION_F,0.8
6,POP_UNION_F,1
7,POP_UNION_M,0
8,POP_UNION_M,0.2
9,POP_UNION_M,0.4
10,POP_UNION_M,0.6
11,POP_UNION_M,0.8
12,POP_UNION_M,1
13,POP_SPLIT_F,0
14,POP_SPLIT_F,0.2
15,POP_SPLIT_F,0.4
16,POP_SPLIT_F,0.6
17,POP_SPLIT_F,0.8
18,POP_SPLIT_F,1
19,POP_SPLIT_F,1.2
20,POP_SPLIT_F,1.4
21,POP_SPLIT_F,1.6
22,POP_SPLIT_F,1.8
23,POP_SPLIT_F,2
24,POP_SPLIT_M,0
25,POP_SPLIT_M,0.2
26,POP_SPLIT_M,0.4
27,POP_SPLIT_M,0.6
28,POP_SPLIT_M,0.8
29,POP_SPLIT_M,1
30,POP_SPLIT_M,1.2
31,POP_SPLIT_M,1.4
32,POP_SPLIT_M,1.6
33,POP_SPLIT_M,1.8
34,POP_SPLIT_M,2
